醫事機構代碼,醫事機構名稱,醫事機構地址,經度,緯度,醫事機構電話,廠牌項目,快篩試劑截至目前結餘存貨數量,來源資料時間,備註
5903280718,樂活藥局,臺中市南屯區大聖街３３２號１樓,120.6508,24.15401,(04)23106301,羅氏家用新冠病毒抗原自我檢測套組,91,2022/10/25 10:13:02,無
5903280745,亨宇藥局,臺中市南屯區東興路二段２９－２號１樓,120.6529,24.13688,(04)24711206,羅氏家用新冠病毒抗原自我檢測套組,76,2022/10/25 10:13:02,無
5903280763,全順藥局,臺中市南屯區永春東路３３９號１樓,120.6477,24.13447,(04)24730983,羅氏家用新冠病毒抗原自我檢測套組,94,2022/10/25 10:13:02,實名快篩販賣時間:平日8~21點  ／ 周六8~12點
5903280781,美十樂藥局,臺中市南屯區東興路二段２７９號１樓,120.6528,24.1437,(04)24710219,羅氏家用新冠病毒抗原自我檢測套組,454,2022/10/25 10:13:02,無
5903280790,統一藥局,臺中市南屯區黎明路一段１１９號１樓,120.6261,24.11478,(04)24701966,羅氏家用新冠病毒抗原自我檢測套組,108,2022/10/25 10:13:02,實名制口罩販售時間為早上8:00~10:00售完為止! （週日售完關門休息。）
5903280807,大樹南屯藥局,臺中市南屯區向上路一段６４３號１樓,120.6486,24.14659,(04)24758887,羅氏家用新冠病毒抗原自我檢測套組,637,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5903280816,大育藥局,臺中市南屯區東興路二段７１號１樓,120.6528,24.13835,(04)24755656,羅氏家用新冠病毒抗原自我檢測套組,395,2022/10/25 10:13:02,實名制快篩每日固定上午08點開始販售  售完為止
5903280889,精科藥局,臺中市南屯區嶺東路３２１號１樓,120.6106,24.14513,(04)23806288,羅氏家用新冠病毒抗原自我檢測套組,153,2022/10/25 10:13:02,快篩試劑9:30-21:00販售.
5903280898,佑全台中忠勇藥局,臺中市南屯區忠勇路５１－８號１樓,120.614,24.14376,(04)23803282,羅氏家用新冠病毒抗原自我檢測套組,8,2022/10/25 10:13:02,不發號碼牌售完為止
5903280914,豐樹藥局,臺中市南屯區黎明路一段６３號１樓,120.6258,24.11362,(04)24792098,羅氏家用新冠病毒抗原自我檢測套組,317,2022/10/25 10:13:02,早上8:30-21:00  直接購買，請自備零金.
5903280923,南屯丁丁藥局,臺中市南屯區五權西路二段２１８號１樓,120.6503,24.14035,(04)36015077,羅氏家用新冠病毒抗原自我檢測套組,143,2022/10/25 10:13:02,無
5903290045,康美得藥局,臺中市北屯區昌平路１段１０５－８號,120.6903,24.17373,(04)22467128,羅氏家用新冠病毒抗原自我檢測套組,68,2022/10/25 10:13:02,星期一~六9:30~22:00。＜唾液＞快篩有現貨。使用方法請上（康美得藥局）臉書。血氧機。口罩100元。酒精。N95
5903290232,弘映藥局,臺中市北屯區崇德路２段４６７號,120.6859,24.18133,(04)22464485,羅氏家用新冠病毒抗原自我檢測套組,163,2022/10/25 10:13:02,無
5903290312,大連大愛藥局,臺中市北屯區大連路２段２２１號,120.6883,24.17579,(04)22428899,羅氏家用新冠病毒抗原自我檢測套組,113,2022/10/25 10:13:02,無
5903290385,元復藥局,臺中市北屯區東山路１段２２５－７號,120.7155,24.17475,(04)24362075,羅氏家用新冠病毒抗原自我檢測套組,26,2022/10/25 10:13:02,今日5／22晚上六點半至八點半開賣；星期一~六上午7:20-7:40及8:30起發號碼牌。
5903290394,億銓藥局,臺中市北屯區北屯路２１０－１號,120.6961,24.16756,(04)22313670,羅氏家用新冠病毒抗原自我檢測套組,212,2022/10/25 10:13:02,快篩實名制不限時段、售完為止。六歲以下幼兒、65歲以上長者免費領用快篩。週六營業到下午5:00，週日公休。
5903290518,佳美藥局,臺中市北屯區東山路１段２６５號１樓,120.7184,24.17583,(04)24363658,羅氏家用新冠病毒抗原自我檢測套組,69,2022/10/25 10:13:02,週日公休.
5903290572,合健藥局,臺中市北屯區大連路一段５４－１號,120.6726,24.17565,(04)22951833,羅氏家用新冠病毒抗原自我檢測套組,13,2022/10/25 10:13:02,快篩星期一到星期六，販賣時間早上8:30
5903290607,敦化小林健保藥局,臺中市北屯區敦化路１段６６８號,120.6643,24.18593,(04)24261881,羅氏家用新冠病毒抗原自我檢測套組,68,2022/10/25 10:13:02,每日早上8:00領號碼牌，16:30再回藥局領口罩（全年無休）
5903290625,又昌中西健保藥局,臺中市北屯區東山路１段２２３號,120.7152,24.17452,(04)24375716,羅氏家用新冠病毒抗原自我檢測套組,38,2022/10/25 10:13:02,快篩實名制 周一~周五晚上18:30 週六10:00開賣 現場排不發號碼牌
5903290661,康博中西健保藥局,臺中市北屯區后庄一街７號１樓,120.6644,24.1865,(04)24252468,羅氏家用新冠病毒抗原自我檢測套組,464,2022/10/25 10:13:02,快篩下午01:00發售53份；晚上06:00銷售25份.週六.日及假日下午06:30開始依配送滾動調整
5903290689,大德安藥局,臺中市北屯區景賢路２３６號,120.7241,24.16701,(04)24378351,羅氏家用新冠病毒抗原自我檢測套組,9,2022/10/25 10:13:02,口罩代售時間從週一到週六09:00~現場排隊售完為止星期日早上10:00起至售完為止
5903290750,長幼藥局,臺中市北屯區崇德路二路二段１５７號１樓,120.6853,24.17329,(04)22426767,羅氏家用新冠病毒抗原自我檢測套組,115,2022/10/25 10:13:02,採現場排隊無號碼牌，快篩地圖與庫存餘量會有誤差，敬請見諒
5903290778,博宇藥局,臺中市北屯區北屯路３８５之１號,120.6979,24.17193,(04)22341479,羅氏家用新冠病毒抗原自我檢測套組,94,2022/10/25 10:13:02,快篩試劑10:00現場販售、售完為止。
5903290803,英全藥局,臺中市北屯區北平路三段３４號,120.6803,24.17105,(04)22345179,羅氏家用新冠病毒抗原自我檢測套組,510,2022/10/25 10:13:02,營業時間早上8點到晚上23點
5903290830,齊方藥局,臺中市北屯區四平路３９號,120.6708,24.17885,(04)22912192,羅氏家用新冠病毒抗原自我檢測套組,180,2022/10/25 10:13:02,實名制快篩全天供應，自費唾液快篩到貨
5903290849,新盛藥局,臺中市北屯區松竹路二段１５７號１樓,120.6959,24.18312,(04)22467779,羅氏家用新冠病毒抗原自我檢測套組,78,2022/10/25 10:13:02,下午2:30至8:30賣快篩試劑週一至週六
5903290867,軍功啄木鳥藥局,臺中市北屯區軍功路二段１７５號,120.7195,24.17982,(04)22390160,羅氏家用新冠病毒抗原自我檢測套組,198,2022/10/25 10:13:02,實名制快篩每日9點至售完為止
5903290876,北屯軍功藥局,臺中市北屯區軍功路一段７５２號,120.7193,24.17513,(04)24375111,羅氏家用新冠病毒抗原自我檢測套組,63,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5903290894,豐禾藥局,臺中市北屯區同榮路１６３號,120.6618,24.19589,(04)24260588,羅氏家用新冠病毒抗原自我檢測套組,50,2022/10/25 10:13:02,快篩試劑於每日下午1點販售，星期日停售
5903290901,帥帥藥局,臺中市北屯區東山路一段３００－２號,120.7204,24.1759,(04)24378188,羅氏家用新冠病毒抗原自我檢測套組,95,2022/10/25 10:13:02,星期一&星期二（晚上18:30~20:30）販售，星期三.四.五（下午15:00~17:00）販賣快篩試劑，售完為止。六.日無販售。
5903290947,德寶健保藥局,臺中市北屯區熱河路一段７０號１樓,120.687,24.1674,(04)22325511,羅氏家用新冠病毒抗原自我檢測套組,151,2022/10/25 10:13:02,快篩試劑九點開始銷售賣完為止
5903290965,崇德藥局,臺中市北屯區崇德路二段３１號,120.685,24.16962,(04)22361331,羅氏家用新冠病毒抗原自我檢測套組,156,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5903290974,興安永佳藥局,臺中市北屯區興安路一段３３３號１樓,120.6944,24.17431,(04)22437876,羅氏家用新冠病毒抗原自我檢測套組,154,2022/10/25 10:13:02,每天上午10:00至晚間21:00販售，售完為止
5903290992,益川健保藥局,臺中市北屯區昌平路二段４７－１號１樓,120.6829,24.1917,(04)24213696,羅氏家用新冠病毒抗原自我檢測套組,114,2022/10/25 10:13:02,快篩試劑隨時現場販售，售完為止，星期日下午3點開始販售
5903291006,五和健保藥局,臺中市北屯區崇德路二段４６０號１樓,120.6863,24.18001,(04)22415533,羅氏家用新冠病毒抗原自我檢測套組,84,2022/10/25 10:13:02,週六公休 。周一至周五 14:30 發號碼牌 14:40販售； 週日 8:30發號碼牌 隨後販售
5903291042,全成北屯藥局,臺中市北屯區北屯路４３９－１１號１樓,120.7004,24.17913,(04)22463518,羅氏家用新冠病毒抗原自我檢測套組,189,2022/10/25 10:13:02,快篩每日上午8:30開始販售
5903291060,大樹北屯藥局,臺中市北屯區松竹路二段４１１號１樓,120.6895,24.18192,(04)22422262,羅氏家用新冠病毒抗原自我檢測套組,265,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5903291079,富丘藥局,臺中市北屯區興安路二段７７號１樓,120.6947,24.17686,(04)22477301,羅氏家用新冠病毒抗原自我檢測套組,59,2022/10/25 10:13:02,實名制快篩試劑早上08:30販售
5903291104,惠登藥局,臺中市北屯區豐樂路３２之９號１樓,120.6897,24.19282,(04)24225682,羅氏家用新冠病毒抗原自我檢測套組,108,2022/10/25 10:13:02,周一至周六0940起販賣快篩試劑.售完為止
5903291131,兩隻老虎藥局,臺中市北屯區崇德路２段１２號１樓,120.6855,24.16869,(04)22364635,羅氏家用新冠病毒抗原自我檢測套組,471,2022/10/25 10:13:02,營業時間早上九點到晚上九點半
5903291140,興安藥局,臺中市北屯區興安路二段５２號１、２樓,120.6949,24.1762,(04)22460369,羅氏家用新冠病毒抗原自我檢測套組,76,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5903291159,均福藥局,臺中市北屯區軍福十三路１００號１樓,120.7308,24.17096,(04)24391169,羅氏家用新冠病毒抗原自我檢測套組,89,2022/10/25 10:13:02,快篩實名制規則:晚上七點依現場排隊順序發號碼牌 （周日公休不販售）
5903291168,日初藥局,臺中市北屯區軍功路一段４８２－３號１樓,120.7188,24.17102,(04)24363150,羅氏家用新冠病毒抗原自我檢測套組,77,2022/10/25 10:13:02,快篩販售：周一~周日10點起開始販售
5903291177,大連何藥局,臺中市北屯區山西路二段２７４號１樓,120.677,24.177,(04)22930895,羅氏家用新冠病毒抗原自我檢測套組,78,2022/10/25 10:13:02,無
5903291202,好心情藥局,臺中市北屯區昌平路一段１７之３號,120.6941,24.16607,(04)22335663,羅氏家用新冠病毒抗原自我檢測套組,105,2022/10/25 10:13:02,營業時間皆有販售， .另有唾液快篩販售，血氧機到貨
5903291211,愛樂芬兒童藥局,臺中市北屯區松竹路一段９２９號１樓,120.7131,24.18216,(04)24363660,羅氏家用新冠病毒抗原自我檢測套組,189,2022/10/25 10:13:02,每日上午9時開始販售
5903291220,佑全台中四平藥局,臺中市北屯區四平路３６０號１樓,120.682,24.19324,(04)24212792,羅氏家用新冠病毒抗原自我檢測套組,237,2022/10/25 10:13:02,無
5903291257,新一代何藥局,臺中市北屯區環中東路二段２６６、２６８號１樓,120.7207,24.17576,(04)24364366,羅氏家用新冠病毒抗原自我檢測套組,150,2022/10/25 10:13:02,實名制快篩販賣時間:早上九點開始至晚間十一點止。  （包含0~6歲領用快篩）
5903291266,佑全台中興安藥局,臺中市北屯區興安路一段２５３號,120.6941,24.17221,(04)22490355,羅氏家用新冠病毒抗原自我檢測套組,155,2022/10/25 10:13:02,無
5903291275,康是美藥局東山店,臺中市北屯區東山路一段３２０號１樓、和福路２５８號１樓,120.7229,24.17591,(04)24364571,羅氏家用新冠病毒抗原自我檢測套組,122,2022/10/25 10:13:02,無
5905010036,橘子藥局,臺南市新營區民權路１１８之２號,120.312,23.30989,(06)6351881,羅氏家用新冠病毒抗原自我檢測套組,84,2022/10/25 10:13:02,週一至週五10:00-19:00（13:00-14:00中午休息）；週六.週日10:00-12:00（配合實名制快篩販售，但有時會公休，再請先電話確認）
5905010063,松柏藥局,臺南市新營區新南里新北街１號,120.3048,23.30861,(06)6590063,羅氏家用新冠病毒抗原自我檢測套組,48,2022/10/25 10:13:02,無
5905010072,長壽藥局,臺南市新營區中山路２１９號,120.3146,23.30286,(06)6324001,羅氏家用新冠病毒抗原自我檢測套組,350,2022/10/25 10:13:02,快篩販售時間：8:00~22:00
5905010125,宏泰大藥局,臺南市新營區新東里東興８街２７號,120.3273,23.3189,(06)6327801,羅氏家用新冠病毒抗原自我檢測套組,148,2022/10/25 10:13:02,營業時間至21:00
5905010152,謙和藥師藥局,臺南市新營區延平路１０１之２號,120.3135,23.29982,(06)6322957,羅氏家用新冠病毒抗原自我檢測套組,58,2022/10/25 10:13:02,販售時間：上午8點開賣。
5905010250,大樹新營藥局,臺南市新營區民權路７４、７６、７８號１樓,120.3127,23.30615,(06)6328300,羅氏家用新冠病毒抗原自我檢測套組,24,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905010296,躍獅新營藥局,臺南市新營區民生路１６８號１樓,120.3073,23.31112,(06)6564325,羅氏家用新冠病毒抗原自我檢測套組,13,2022/10/25 10:13:02,請關注FB_躍獅藥局新營店_訊息或是line群組即時更新資訊
5905020023,大樹鹽水藥局,臺南市鹽水區朝琴路１２６－３號１樓,120.271,23.32228,(06)6520432,羅氏家用新冠病毒抗原自我檢測套組,321,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905030010,美恩健保藥局,臺南市白河區永安里中山路８１號１樓,120.4153,23.35018,(06)6858865,羅氏家用新冠病毒抗原自我檢測套組,262,2022/10/25 10:13:02,快篩販售時間:週一至週六早上7:30至售完為止，週日早上公休，下午1點販售
5905030047,大源醫藥局,臺南市白河區中山路１７２之２號,120.4177,23.35257,(06)6852306,羅氏家用新冠病毒抗原自我檢測套組,63,2022/10/25 10:13:02,快篩實名制，上午8:00至售完為止
5905030092,大樹白河藥局,臺南市白河區中山路１５３號１樓,120.417,23.35255,(06)6830006,羅氏家用新冠病毒抗原自我檢測套組,98,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905040105,幸福藥局,臺南市麻豆區光復路１２７號１樓,120.245,23.18435,(06)5720977,羅氏家用新冠病毒抗原自我檢測套組,133,2022/10/25 10:13:02,實名制快篩 早上8:30~12:00  下午2:40~6:00 * 星期日休
5905040123,麻豆啄木鳥藥局,臺南市麻豆區興國路５６－２２號１樓,120.2471,23.17712,(06)5714786,羅氏家用新冠病毒抗原自我檢測套組,92,2022/10/25 10:13:02,周一~五及周日早上10:00，周六下午2:00開始販售
5905040141,大樹麻豆藥局,臺南市麻豆區中山路４８、５０號１樓,120.2469,23.18382,(06)5716556,羅氏家用新冠病毒抗原自我檢測套組,120,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905050058,佳里啄木鳥藥局,臺南市佳里區延平路７６號１樓,120.1795,23.15507,(06)7236396,羅氏家用新冠病毒抗原自我檢測套組,78,2022/10/25 10:13:02,早上8點-售完為止（若當天配送延誤，時間另行公布）
5905050094,建昌藥局佳里店,臺南市佳里區光復路３７１號,120.1747,23.16452,(06)7221369,羅氏家用新冠病毒抗原自我檢測套組,236,2022/10/25 10:13:02,無
5905050192,復佑藥局,臺南市佳里區光復路３１５號１樓,120.1746,23.16289,(06)7222771,羅氏家用新冠病毒抗原自我檢測套組,112,2022/10/25 10:13:02,週一至週六 全日販售防疫家用快篩試劑
5905050209,大樹佳里藥局,臺南市佳里區延平路２３７號１樓,120.1783,23.1599,(06)7231323,羅氏家用新冠病毒抗原自我檢測套組,50,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905060054,全家康藥師藥局,臺南市新化區北勢里中正路１２０７號,120.2968,23.05935,(06)5980866,羅氏家用新冠病毒抗原自我檢測套組,69,2022/10/25 10:13:02,週一~週六早上10:00開始賣實名制快篩，售完為止
5905060081,新化景惠藥局,臺南市新化區護國里中山路１８５號,120.3103,23.03705,(06)5909659,羅氏家用新冠病毒抗原自我檢測套組,249,2022/10/25 10:13:02,週一到週六早上八點開始販售，顯示無庫存代表已售完。
5905060125,美麗安藥局,臺南市新化區護國里中山路１５０－１號１樓,120.3102,23.03714,(06)5909509,羅氏家用新冠病毒抗原自我檢測套組,158,2022/10/25 10:13:02,一到五AM:8-12點  PM:3-7點／ 周六AM8-12點／周日休息
5905060161,和德藥局新化店,臺南市新化區清水里中山路４２０號１樓,120.3047,23.0359,(06)5802518,羅氏家用新冠病毒抗原自我檢測套組,184,2022/10/25 10:13:02,快篩販售時間:星期一~星期日 下午3點~6點
5905060198,大樹新化藥局,臺南市新化區中正路５３１號１樓,120.3072,23.03764,(06)5901331,羅氏家用新冠病毒抗原自我檢測套組,60,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905070050,晶德昌藥局,臺南市善化區文光里中山路８５號,120.3034,23.13298,(06)5856141,羅氏家用新冠病毒抗原自我檢測套組,225,2022/10/25 10:13:02,每日08:00-售完為止
5905070121,大樹善化藥局,臺南市善化區民權路５４、５６、５８號１樓,120.3034,23.1322,(06)5830550,羅氏家用新冠病毒抗原自我檢測套組,29,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905080065,生祥大藥局學甲店,臺南市學甲區仁得里華宗路３６９號１樓,120.1821,23.23223,(06)7838462,羅氏家用新冠病毒抗原自我檢測套組,195,2022/10/25 10:13:02,實名制快篩：週一~週五8:00~20:00，週六8:00~下午5:00（若遇上門診較忙碌時，請稍等一下）
5905090025,中山藥局,臺南市柳營區中山西路二段１４５號１樓,120.3137,23.27664,(06)6221696,羅氏家用新冠病毒抗原自我檢測套組,325,2022/10/25 10:13:02,無
5905090061,安安藥局柳營店,臺南市柳營區福安一街５０號１樓,120.3126,23.27711,(06)6220585,羅氏家用新冠病毒抗原自我檢測套組,332,2022/10/25 10:13:02,販售時間 08:00-21:00
5905090070,維康藥局柳營店,臺南市柳營區太康里２０１－１０號１樓,120.3253,23.28793,(06)6226228,羅氏家用新冠病毒抗原自我檢測套組,107,2022/10/25 10:13:02,實名制快篩備貨充足！0-6歲及65歲以上長者可領取免費快篩。
5905100062,美尚藥局後壁店,臺南市後壁區後壁里１６８－８號,120.364,23.36509,(06)6871138,羅氏家用新冠病毒抗原自我檢測套組,212,2022/10/25 10:13:02,星期六.日早上視狀況營業（會提早公告）早上10:00開始販售
5905130024,人大藥局,臺南市六甲區中山路７號,120.3513,23.23059,(06)6988802,羅氏家用新冠病毒抗原自我檢測套組,15,2022/10/25 10:13:02,快篩販售時間：星期一-日07:00-售完
5905130042,人大聯合藥局,臺南市六甲區中山路８號１樓,120.3513,23.23087,(06)6987822,羅氏家用新冠病毒抗原自我檢測套組,333,2022/10/25 10:13:02,快篩販售時間：星期一-日07:30-售完
5905130051,唯安健保藥局,臺南市六甲區中正路４７７號１樓,120.3511,23.22957,(06)6980550,羅氏家用新冠病毒抗原自我檢測套組,120,2022/10/25 10:13:02,實名制快篩販賣時間為早上7:30
5905140011,振安藥局,臺南市官田區隆田里中山路一段６０號,120.3178,23.1929,(06)5791810,羅氏家用新冠病毒抗原自我檢測套組,260,2022/10/25 10:13:02,無
5905140039,安安藥局隆田店,臺南市官田區中山路一段１５號１樓,120.3186,23.1927,(06)5795705,羅氏家用新冠病毒抗原自我檢測套組,145,2022/10/25 10:13:02,全日口罩販賣
5905160013,長榮藥局,臺南市西港區新興街１２巷１４號１樓,120.2019,23.12005,(06)7952617,羅氏家用新冠病毒抗原自我檢測套組,327,2022/10/25 10:13:02,實名制快篩，早上十點開始販售
5905170019,博士藥師專業藥局,臺南市七股區大埕里３５７號１樓,120.1416,23.14288,(06)7874226,羅氏家用新冠病毒抗原自我檢測套組,2,2022/10/25 10:13:02,快篩購買與免費領取時段下午2點到下午6點
5905170037,建昌藥局,臺南市七股區大寮里１之１１號,120.1493,23.1482,(06)7873777,羅氏家用新冠病毒抗原自我檢測套組,331,2022/10/25 10:13:02,【快篩販售時間】週一～週五08:15~19:00、週六08:15~11:00。
5905180042,建昌藥局漚汪店,臺南市將軍區忠興里１－６號１樓,120.1605,23.2013,(06)7941889,羅氏家用新冠病毒抗原自我檢測套組,101,2022/10/25 10:13:02,無
5905180051,晉昇藥師藥局,臺南市將軍區西甲里４鄰西華６７之２１號１樓,120.1563,23.19908,(06)7943667,羅氏家用新冠病毒抗原自我檢測套組,29,2022/10/25 10:13:02,無
5905200085,大樹新市藥局,臺南市新市區中正路４９、５１號１樓,120.2916,23.07223,(06)5892552,羅氏家用新冠病毒抗原自我檢測套組,99,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905200094,大華藥局,臺南市新市區大社里大社７０８號１樓,120.3176,23.08945,(06)5997119,羅氏家用新冠病毒抗原自我檢測套組,160,2022/10/25 10:13:02,快篩販售時間：週一至周六上午 8-12 時、下午 2-9 時。 ※ 週日不販售。
5905210027,愛心藥師藥局,臺南市安定區港南里港口１４７號,120.233,23.09041,(06)5935104,羅氏家用新冠病毒抗原自我檢測套組,297,2022/10/25 10:13:02,春節營業時間請電洽或依現場公告
5905210036,一翔藥局,臺南市安定區港南里港口１９６號１樓,120.2323,23.09044,(06)5935208,羅氏家用新冠病毒抗原自我檢測套組,208,2022/10/25 10:13:02,有提供健保快篩及小兒免費快篩領取，早上9點之後可以過卡現場領取，請注意單雙號分流。
5905270041,仁德市安藥師藥局,臺南市仁德區中正西路２５號,120.2244,22.91814,(06)2661933,羅氏家用新冠病毒抗原自我檢測套組,99,2022/10/25 10:13:02,快篩販賣：早上9點開始販售
5905270112,昱欣藥局,臺南市仁德區中清路１８０號１樓,120.252,22.96969,(06)2798970,羅氏家用新冠病毒抗原自我檢測套組,215,2022/10/25 10:13:02,無
5905270121,安麗兒藥局仁德店,臺南市仁德區新田里中正路二段４４５號,120.2523,22.95461,(06)2498619,羅氏家用新冠病毒抗原自我檢測套組,109,2022/10/25 10:13:02,快篩實名制上午9點開始販售，售完為止
5905270158,佳德藥局,臺南市仁德區德糖路４７０號１樓,120.2522,22.95128,(06)2796767,羅氏家用新冠病毒抗原自我檢測套組,168,2022/10/25 10:13:02,口罩發放時間:禮拜一至禮拜六8:30發號碼牌 9:00領取口罩，禮拜四和六只到中午12:00
5905270194,成吉藥局仁義店,臺南市仁德區仁義路４２－１號１樓,120.2539,22.96808,(06)2497307,羅氏家用新冠病毒抗原自我檢測套組,241,2022/10/25 10:13:02,因叧篩時間送貨不固定 所以販售時間也不固定
5905280047,獅甲藥局,臺南市歸仁區六甲里六甲路２０３號,120.2788,22.95239,(06)3388387,羅氏家用新冠病毒抗原自我檢測套組,135,2022/10/25 10:13:02,快篩實名制，早上7點55分，開始販售
5905280092,元康保健藥局,臺南市歸仁區中山路二段２２９號,120.2888,22.96721,(06)2309055,羅氏家用新冠病毒抗原自我檢測套組,20,2022/10/25 10:13:02,星期一至六下午1點開始至售完.星期日不販售
5905280109,大樹青青藥局,臺南市歸仁區中山路三段１２號,120.2875,22.96765,(06)2300301,羅氏家用新冠病毒抗原自我檢測套組,2,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905280136,悅橙歸仁藥局,臺南市歸仁區大通路４３號１樓,120.296,22.9676,(06)2396660,羅氏家用新冠病毒抗原自我檢測套組,103,2022/10/25 10:13:02,實名制Covid-19快篩15:00開始現場販售至售完
5905280154,喜樂藥局,臺南市歸仁區辜厝里中正南路一段１１４號１樓,120.293,22.96419,(06)2305101,羅氏家用新冠病毒抗原自我檢測套組,129,2022/10/25 10:13:02,實名制快篩每天販售，星期日公休。相關訊息將公告於喜樂藥局粉絲團FB。
5905280163,歸仁丁丁藥局,臺南市歸仁區中山路三段７３號１樓,120.2861,22.96753,(06)2300767,羅氏家用新冠病毒抗原自我檢測套組,4,2022/10/25 10:13:02,無
5905290034,大樹關廟藥局,臺南市關廟區中央路２６３號１樓,120.3272,22.96109,(06)5965889,羅氏家用新冠病毒抗原自我檢測套組,141,2022/10/25 10:13:02,快篩實名制，每天16:00開始販售，售完為止。
5905310157,信仁藥局,臺南市永康區中華西街１４９號,120.2257,23.01581,(06)2337755,羅氏家用新冠病毒抗原自我檢測套組,82,2022/10/25 10:13:02,實名制快篩販售時間 : 10:00起至售完為止，
5905310184,鹽行健保藥局,臺南市永康區中正南路８６１號,120.2369,23.04132,(06)2435112,羅氏家用新冠病毒抗原自我檢測套組,45,2022/10/25 10:13:02,無
5905310237,睿禾藥局,臺南市永康區東橋一路１３號,120.2356,23.01609,(06)3023868,羅氏家用新冠病毒抗原自我檢測套組,155,2022/10/25 10:13:02,10點後開始。中午休息到14點不販售。週日公休。
5905310264,仁安藥師藥局,臺南市永康區崑山里大仁街６１號,120.2566,23.00183,(06)2056055,羅氏家用新冠病毒抗原自我檢測套組,168,2022/10/25 10:13:02,快篩實名制星期一到星期日早上8 點開始販售
5905310273,誠康藥局,臺南市永康區中山東路１１３號１樓,120.2367,23.01266,(06)3022005,羅氏家用新冠病毒抗原自我檢測套組,20,2022/10/25 10:13:02,無
5905310291,俐欣藥局,臺南市永康區大仁街２０６號１樓,120.2582,23.00553,(06)2050777,羅氏家用新冠病毒抗原自我檢測套組,135,2022/10/25 10:13:02,無
5905310326,美德生醫藥局,臺南市永康區復國一路４９６號１樓,120.245,23.01514,(06)2030463,羅氏家用新冠病毒抗原自我檢測套組,196,2022/10/25 10:13:02,快篩販售時間：星期一~星期日 10:30~至售完
5905310344,昱賢藥師藥局中正店,臺南市永康區中正路１４１、１４３號１樓,120.2375,23.04097,(06)2021535,羅氏家用新冠病毒抗原自我檢測套組,77,2022/10/25 10:13:02,實名制快篩販售時間：星期一~星期日12:00-17:00點
5905310353,家嘉藥局,臺南市永康區復國一路２０６號,120.2462,23.00644,(06)3121328,羅氏家用新冠病毒抗原自我檢測套組,25,2022/10/25 10:13:02,緊急領藥請洽  https:／／lin.ee／u1aUvsy 0988116193
5905310531,晉大藥局復國店,臺南市永康區復國一路５８２－１號,120.2438,23.01671,(06)2025309,羅氏家用新冠病毒抗原自我檢測套組,216,2022/10/25 10:13:02,實名制快篩即日起早上10點起販售，不限卡片張數，不分單雙
5905310540,裕安藥局,臺南市永康區中華二路３８５號,120.2315,23.0083,(06)3133251,羅氏家用新冠病毒抗原自我檢測套組,124,2022/10/25 10:13:02,10／8（六）全日休診!
5905310568,宜芯健康藥局,臺南市永康區大灣路７３６號１樓,120.2611,23.00076,(06)2722622,羅氏家用新冠病毒抗原自我檢測套組,32,2022/10/25 10:13:02,星期一~星期六13:30過後
5905310657,昂德藥局,臺南市永康區復華里復國一路１５２號１樓,120.2467,23.01241,(06)3121220,羅氏家用新冠病毒抗原自我檢測套組,233,2022/10/25 10:13:02,實名制快篩 早上9點即開始購買 售完為止
5905310817,永大啄木鳥藥局,臺南市永康區永大路二段３９７號１樓,120.2632,23.01227,(06)2071575,羅氏家用新冠病毒抗原自我檢測套組,89,2022/10/25 10:13:02,無
5905310871,晶辰藥局,臺南市永康區大灣里民族路３９６巷１號、３號１樓、３９８號１樓,120.2661,23.00825,(06)2733368,羅氏家用新冠病毒抗原自我檢測套組,10,2022/10/25 10:13:02,實名制快篩販售時間周一~周五早上10點~12點，下午不販售
5905310979,復華藥師藥局,臺南市永康區復興里復華一街１３１號１樓,120.2422,23.00531,(06)3123597,羅氏家用新冠病毒抗原自我檢測套組,378,2022/10/25 10:13:02,營業時間7:00~22:30    實名制快篩 早上7:00後開放購買~~售完為止（星期一 ~ 日皆有販售喔）
5905311001,和德藥局復國店,臺南市永康區復國里復國一路３３９之７號１樓,120.2464,23.01155,(06)2038728,羅氏家用新冠病毒抗原自我檢測套組,139,2022/10/25 10:13:02,快篩販賣時間下午2:30~晚上7:00
5905311010,樂丞藥局,臺南市永康區中正北路６０號１樓,120.2406,23.04138,(06)2433319,羅氏家用新冠病毒抗原自我檢測套組,182,2022/10/25 10:13:02,快篩販售時間：早上11點開賣至售完
